id;nome;cod_ibama_atual;cod_ibama_novo;ibama_descricao;tra_codigo;tie_codigo;tia_codigo;cla_codigo;uni_codigo;status;notes
42;PAPELÃO;03.03.08;03.03.08;"Resíduos de triagem de papel e papelão destinado a reciclagem";43;4;8;43;2;ok;
33;"PILHAS E BATERIAS";20.01.32;20.01.32;"Medicamentos não abrangidos em 20 01 31 (*) - (B conforme ANVISA RDC 222/2018)";43;4;8;1;2;ok;
20;PLÁSTICO;16.01.19;16.01.19;Plástico;43;4;8;43;2;ok;
22;"PNEU MOTO";16.01.27;16.01.27;"Pneus inservíveis/usados de motocicletas";43;4;8;43;2;ok;
26;"PNEU TRATOR";16.01.28;16.01.28;"Pneus inservíveis/usados de tratores";43;4;8;43;2;ok;
50;"PNEUS AERONAUTICOS";16.01.23;16.01.23;"Pneus inservíveis/usados aeronáuticos";43;4;8;43;2;ok;
51;"PNEUS AUTOMÓVEIS";16.01.24;16.01.24;"Pneus inservíveis/usados de automóveis";43;4;8;43;2;ok;
52;"PNEUS BICICLETAS";16.01.25;16.01.25;"Pneus inservíveis/usados de bicicletas";43;4;8;43;2;ok;
57;"PNEUS CAMINHÕES";16.01.26;16.01.26;"Pneus inservíveis/usados de caminhões e ônibus";43;4;8;43;2;ok;
53;"PNEUS ONIBUS";16.01.26;16.01.26;"Pneus inservíveis/usados de caminhões e ônibus";43;4;8;43;2;ok;
61;"PÓ DE SERRA CONTAMINADO";15.02.02;15.02.02;"Absorventes, materiais filtrantes (incluindo filtros de óleo não anteriormente especificados), panos de limpeza e vestuário de proteção, contaminados por substâncias perigosas";73;4;8;1;2;ok;
77;"PRODUTOS QUÍMICOS DE LABORATÓRIO CONTENDO OU COMPO";16.05.06;16.05.06;"Produtos químicos de laboratório contendo ou compostos por substâncias perigosas, incluindo misturas de produtos químicos de laboratório";73;4;8;1;2;ok;
29;"Resíduo Equipamentos Eletrônicos ";20.01.23;20.01.23;"Produtos eletroeletrônicos fora de uso contendo clorofluorcarbonetos";73;4;8;1;2;ok;
16;"RESÍDUO SÓLIDO DO SERVIÇO DE SAÚDE";18.01.01;18.01.01;"Culturas e estoques de micro-organismos; resíduos de fabricação de produtos biológicos, exceto os hemoderivados; descarte de vacinas de micro-organismos vivos ou atenuados; meios de cultura e instrumentos utilizados para transferência, inoculação ou mistura de culturas; resíduos de laboratório de manipulação genética  (Grupo A1 conforme ANVISA RDC 222/2018)";73;4;8;1;2;ok;
54;"RESÍDUOS BIODEGRADÁVEIS DE COZINHA E CANTINAS";20.01.08;20.01.08;"Resíduos biodegradáveis de cozinha e cantinas";43;4;8;43;2;ok;
68;"RESÍDUOS CONTAMINADOS";15.02.02;15.02.02;"Absorventes, materiais filtrantes (incluindo filtros de óleo não anteriormente especificados), panos de limpeza e vestuário de proteção, contaminados por substâncias perigosas";73;4;8;1;2;ok;
75;"Resíduos da indústria de lacticínios: MATERIAIS IM";02.05.01;02.05.01;"Materiais impróprios para consumo ou processamento";43;4;8;43;2;ok;
74;"RESÍDUOS DE CONSTRUCAO CIVIL";17.09.04;17.09.04;"Mistura de resíduos de construção e demolição não abrangidos em 17 09 01 (*), 17 09 02 (*) e 17 09 03 (*) - (Classe A conf. Resolução CONAMA 307/02)";43;4;8;43;2;ok;
64;"RESÍDUOS DE TRIAGEM DE PAPEL E PAPELÃO DESTINADO A";03.03.08;03.03.08;"Resíduos de triagem de papel e papelão destinado a reciclagem";43;4;8;43;2;ok;
87;"RETALHOS/PEDAÇOS DE MDF";03.01.05;03.01.05;"Serragem, aparas, fitas de aplainamento, madeira, aglomerados e folheados não abrangidos em 03 01 04 (*)";43;4;8;43;2;ok;
70;SACARIAS;16.01.19;16.01.19;Plástico;43;4;8;43;2;ok;
63;"SACOS DE CIMENTO - RESÍDUOS DE CIMENTO";17.01.01;17.01.01;"Resíduos de cimento";43;4;2;43;2;ok;
86;"SERRAGEM, APARAS, FITAS, APLAINAMENTO.";03.01.05;03.01.05;"Serragem, aparas, fitas de aplainamento, madeira, aglomerados e folheados não abrangidos em 03 01 04 (*)";43;4;8;43;2;ok;
44;"SUCATAS METÁLICAS";16.01.17;16.01.17;"Sucatas metálicas ferrosas";43;4;8;43;2;ok;
40;"Sucatas metálicas não ferrosa (Alumínio,cobre)";16.01.18;16.01.18;"Sucatas metálicas não ferrosas";43;4;8;43;2;ok;
37;"Terra Contaminada por Óleo ";13.05.08;13.05.08;"Misturas de resíduos provenientes de desarenadores e de separadores";73;2;8;1;2;ok;
43;teste;01.01.02;01.01.02;"Resíduos da Extração de Minérios Não Metálicos";43;4;8;43;2;ok;
45;"TONNER DE IMPRESSÃO G";08.03.17;08.03.17;"Resíduos de toner de impressão contendo substancias perigosas";73;4;8;1;2;ok;
46;"TONNER DE IMPRESSÃO P";08.03.17;08.03.17;"Resíduos de toner de impressão contendo substancias perigosas";73;4;8;1;2;ok;
36;"Vasilhames Contaminado por Óleo ";15.01.10;15.01.10;"Embalagens de qualquer um dos tipos acima descritos contendo ou contaminadas por resíduos de substâncias perigosas";73;2;8;1;2;ok;
21;VIDRO;16.01.20;16.01.20;Vidro;43;4;8;43;2;ok;
